Container,Last Activity,Location,Loaction2,Date,Vessel/Voyage,Bol#
ZIMU1049262, Empty container returned from Customer, SAVANNAH (GA), U.S.A., 30-Nov-2018, ,ZIMUSEL766825
ZIMU1049263, Empty container dispatched from inland point to Customer, SHANGHAI (SH), CHINA. PEOPLE'S REPUBLIC, 20-Oct-2018 01:59, ,ZIMUSEL766826
ZIMU1049264, Export Gate-In to Port of Loading , SHANGHAI (SH), CHINA. PEOPLE'S REPUBLIC, 21-Oct-2018 01:48,  ZIM CHICAGO/49    ,ZIMUSEL766827
ZIMU1049265, Container was loaded at Port of Loading to Port of Discharge, SHANGHAI (SH), CHINA. PEOPLE'S REPUBLIC, 27-Oct-2018 01:00,  ZIM CHICAGO/49    ,ZIMUSEL766828
ZIMU1049266, Container was discharged at Port of Destination, SAVANNAH (GA), U.S.A., 22-Nov-2018 02:48,  ZIM CHICAGO/49    ,ZIMUSEL766829
ZIMU1049267, Container is available to be released / delivered, SAVANNAH (GA), U.S.A., 22-Nov-2018 11:23, ,ZIMUSEL766830
ZIMU1049268, Import truck departure from Port of Discharge to Customer, SAVANNAH (GA), U.S.A., 29-Nov-2018 09:42,  ZIM CHICAGO/49    ,ZIMUSEL766831
ZIMU1049269, Empty container dispatched from inland point to Customer, SHANGHAI (SH), CHINA. PEOPLE'S REPUBLIC, 20-Oct-2018 00:23, ,ZIMUSEL766832
ZIMU1049270, Export Gate-In to Port of Loading , SHANGHAI (SH), CHINA. PEOPLE'S REPUBLIC, 20-Oct-2018 19:33,  ZIM CHICAGO/49    ,ZIMUSEL766833
ZIMU1049271, Container was loaded at Port of Loading to Port of Discharge, SHANGHAI (SH), CHINA. PEOPLE'S REPUBLIC, 27-Oct-2018 01:00,  ZIM CHICAGO/49    ,ZIMUSEL766834
ZIMU1049272, Container was discharged at Port of Destination, SAVANNAH (GA), U.S.A., 21-Nov-2018 23:42,  ZIM CHICAGO/49    ,ZIMUSEL766835
ZIMU1049273, Container is available to be released / delivered, SAVANNAH (GA), U.S.A., 22-Nov-2018 08:08, ,ZIMUSEL766836
ZIMU1049274, Import truck departure from Port of Discharge to Customer, SAVANNAH (GA), U.S.A., 29-Nov-2018 10:25,  ZIM CHICAGO/49    ,ZIMUSEL766837
ZIMU1049275, Empty container dispatched from inland point to Customer, SHANGHAI (SH), CHINA. PEOPLE'S REPUBLIC, 20-Oct-2018 00:23, ,ZIMUSEL766838
ZIMU1049276, Export Gate-In to Port of Loading , SHANGHAI (SH), CHINA. PEOPLE'S REPUBLIC, 20-Oct-2018 19:33,  ZIM CHICAGO/49    ,ZIMUSEL766839
ZIMU1049277, Container was loaded at Port of Loading to Port of Discharge, SHANGHAI (SH), CHINA. PEOPLE'S REPUBLIC, 27-Oct-2018 01:00,  ZIM CHICAGO/49    ,ZIMUSEL766840
ZIMU1049278, Container was discharged at Port of Destination, SAVANNAH (GA), U.S.A., 21-Nov-2018 23:38,  ZIM CHICAGO/49    ,ZIMUSEL766841
ZIMU1049279, Container is available to be released / delivered, SAVANNAH (GA), U.S.A., 22-Nov-2018 08:08, ,ZIMUSEL766842
ZIMU1049280, Import truck departure from Port of Discharge to Customer, SAVANNAH (GA), U.S.A., 29-Nov-2018 10:08,  ZIM CHICAGO/49    ,